ID,编码,名称
1,1000,北京市
2,1021,东城区
3,1022,西城区
4,1023,朝阳区
5,1024,丰台区
6,1025,石景山区
7,1026,海淀区
8,1027,密云县
9,1028,延庆县
10,1029,门头沟区
11,1031,通州区
12,1032,顺义区
13,1033,昌平区
14,1034,大兴区
15,1035,平谷区
16,1036,房山区
17,1039,怀柔区
18,1100,天津市
19,1121,宁河县
20,1123,静海县
21,1124,北辰区
22,1125,蓟县
23,1126,宝坻区
24,1127,滨海新区
25,1128,和平区
26,1129,河东区
27,1131,河西区
28,1132,南开区
29,1133,河北区
30,1134,红桥区
31,1135,东丽区
32,1136,西青区
33,1137,津南区
34,1138,武清区
35,1200,河北省
36,1210,石家庄市
37,1211,井陉县
38,1212,鹿泉区
39,1213,正定县
40,1214,栾城区
41,1215,长安区
42,1216,桥西区
43,1217,新华区
44,1218,井陉矿区
45,1219,裕华区
46,1221,辛集市
47,1222,晋州市
48,1223,深泽县
49,1224,无极县
50,1225,藁城区
51,1226,赵县
52,1227,新乐市
53,1228,高邑县
54,1229,元氏县
55,1231,赞皇县
56,1232,平山县
57,1233,灵寿县
58,1234,行唐县
59,1240,唐山市
60,1241,路南区
61,1242,路北区
62,1243,滦县
63,1244,滦南县
64,1245,乐亭县
65,1246,迁安市
66,1247,迁西县
67,1248,遵化市
68,1249,玉田县
69,1251,丰南区
70,1252,古冶区
71,1253,开平区
72,1254,丰润区
73,1255,曹妃甸区
74,1260,秦皇岛市
75,1261,青龙满族自治县
76,1262,昌黎县
77,1263,抚宁县
78,1264,卢龙县
79,1265,海港区
80,1266,山海关区
81,1267,北戴河区
82,1270,邯郸市
83,1271,邯郸县
84,1272,邯山区
85,1273,丛台区
86,1274,复兴区
87,1275,峰峰矿区
88,1281,大名县
89,1282,魏县
90,1283,曲周县
91,1284,邱县
92,1285,鸡泽县
93,1286,肥乡县
94,1287,广平县
95,1288,成安县
96,1289,临漳县
97,1291,磁县
98,1292,涉县
99,1293,永年县
100,1294,馆陶县
101,1295,武安市
102,1310,邢台市
103,1311,邢台县
104,1312,桥东区
105,1313,桥西区
106,1321,南宫市
107,1322,沙河市
108,1323,临城县
109,1324,内丘县
110,1325,柏乡县
111,1326,隆尧县
112,1327,任县
113,1328,南和县
114,1329,宁晋县
115,1331,巨鹿县
116,1332,新河县
117,1333,广宗县
118,1334,平乡县
119,1335,威县
120,1336,清河县
121,1337,临西县
122,1340,保定市
123,1341,满城县
124,1342,清苑县
125,1343,新市区
126,1344,北市区
127,1345,南市区
128,1351,定州市
129,1352,涿州市
130,1353,易县
131,1354,徐水县
132,1355,涞源县
133,1356,定兴县
134,1357,顺平县
135,1358,唐县
136,1359,望都县
137,1361,涞水县
138,1362,高阳县
139,1363,安新县
140,1364,雄县
141,1365,容城县
142,1366,高碑店市
143,1367,曲阳县
144,1368,阜平县
145,1369,安国市
146,1371,博野县
147,1372,蠡县
148,1380,张家口市
149,1381,宣化县
150,1382,桥东区
151,1383,桥西区
152,1384,宣化区
153,1385,下花园区
154,1391,张北县
155,1392,康保县
156,1393,沽源县
157,1394,尚义县
158,1395,蔚县
159,1396,阳原县
160,1397,怀安县
161,1398,万全县
162,1399,怀来县
163,1401,涿鹿县
164,1402,赤城县
165,1403,崇礼县
166,1410,承德市
167,1411,承德县
168,1412,双桥区
169,1413,双滦区
170,1414,鹰手营子矿区
171,1421,宽城满族自治县
172,1422,兴隆县
173,1423,平泉县
174,1424,滦平县
175,1425,丰宁满族自治县
176,1426,隆化县
177,1427,围场满族蒙古族自治县
178,1430,沧州市
179,1431,沧　县
180,1432,青　县
181,1433,新华区
182,1441,泊头市
183,1442,任丘市
184,1443,河间市
185,1444,肃宁县
186,1445,献　县
187,1446,吴桥县
188,1447,东光县
189,1448,南皮县
190,1449,盐山县
191,1451,黄骅市
192,1452,孟村回族自治县
193,1453,海兴县
194,1454,运河区
195,1460,廊坊市
196,1461,三河市
197,1462,固安县
198,1463,永清县
199,1464,香河县
200,1465,大城县
201,1466,文安县
202,1467,霸州市
203,1468,大厂回族自治县
204,1469,安次区
205,1471,广阳区
206,1480,衡水市
207,1481,桃城区 
208,1482,冀州市
209,1483,枣强县
210,1484,武邑县
211,1485,深州市
212,1486,武强县
213,1487,饶阳县
214,1488,安平县
215,1489,故城县
216,1491,景　县
217,1492,阜城县
218,1600,山西省
219,1610,太原市
220,1611,清徐县
221,1612,阳曲县
222,1613,娄烦县
223,1614,古交市
224,1615,尖草坪区
225,1616,小店区
226,1617,迎泽区
227,1618,杏花岭区
228,1619,万柏林区
229,1621,晋源区
230,1620,大同市
231,1631,阳高县
232,1632,天镇县
233,1633,广灵县
234,1634,灵丘县
235,1635,浑源县
236,1637,左云县
237,1638,南郊区
238,1639,大同县
239,1641,城区
240,1642,矿区
241,1643,新荣区
242,1650,阳泉市
243,1651,平定县
244,1652,盂县
245,1653,城区
246,1654,矿区
247,1655,郊区
248,1660,长治市
249,1661,长治县
250,1662,潞城市
251,1663,襄垣县
252,1664,屯留县
253,1665,平顺县
254,1666,黎城县
255,1667,壶关县
256,1668,长子县
257,1669,武乡县
258,1671,沁县
259,1672,沁源县
260,1673,城区
261,1674,郊区
262,1680,晋城市
263,1681,沁水县
264,1682,阳城县
265,1683,高平市
266,1684,陵川县
267,1685,泽州县
268,1686,城区
269,1690,朔州市
270,1691,山阴县
271,1692,应  县
272,1693,右玉县
273,1694,怀仁县
274,1695,朔城区
275,1696,平鲁区
276,1710,忻州市
277,1712,定襄县
278,1713,五台县
279,1714,原平市
280,1715,代县
281,1716,繁峙县
282,1717,宁武县
283,1718,静乐县
284,1719,神池县
285,1721,五寨县
286,1722,岢岚县
287,1723,河曲县
288,1724,保德县
289,1725,偏关县
290,1726,忻府区
291,1730,吕梁市
292,1731,汾阳市
293,1732,文水县
294,1733,交城县
295,1734,孝义市
296,1735,兴县
297,1736,临县
298,1737,柳林县
299,1738,石楼县
300,1739,岚县
301,1741,方山县
302,1743,中阳县
303,1744,交口县
304,1745,离石区
305,1750,晋中市
306,1751,榆次区
307,1752,榆社县
308,1753,左权县
309,1754,和顺县
310,1755,昔阳县
311,1756,寿阳县
312,1757,太谷县
313,1758,祁县
314,1759,平遥县
315,1761,介休市
316,1762,灵石县
317,1770,临汾市
318,1771,尧都区
319,1772,侯马市
320,1773,曲沃县
321,1774,翼城县
322,1775,襄汾县
323,1776,洪洞县
324,1777,霍州市
325,1778,古县
326,1779,安泽县
327,1781,浮山县
328,1782,吉县
329,1783,乡宁县
330,1784,蒲县
331,1785,大宁县
332,1786,永和县
333,1787,隰县
334,1788,汾西县
335,1810,运城市
336,1811,盐湖区
337,1812,永济市
338,1813,芮城县
339,1814,临猗县
340,1815,万荣县
341,1816,新绛县
342,1817,稷山县
343,1818,河津市
344,1819,闻喜县
345,1821,夏县
346,1822,绛县
347,1823,平陆县
348,1824,垣曲县
349,1900,内蒙古自治区
